State,District,Latitude,Longitude,District code,State name,Population,Male,Female,Literate,litracy_rate,Female_Literate,Male_Literate,Hindus,Muslims,Sikhs,Christians,Jains,Middle_Education,Female_Workers,Male_Workers,Household_Workers,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Primary_Education,Higher_Education,SC,ST
Gujarat,Navsari,20.866973318871995,72.86184869848157,490,GUJARAT,1329672,678165,651507,1001909,75.0,462438,539471,1225087,78669,2459,5733,13386,140235,183953,407881,7173,267679,6726,24397,266733,112460,35464,639659
Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,484,GUJARAT,2390776,1226961,1163815,1440805,60.0,582751,858054,2220974,158513,662,2863,5236,205420,423942,673565,10771,398937,3456,19753,601358,139773,100446,721604
Gujarat,Patan,23.80634198473284,71.75162977099237,470,GUJARAT,1343734,694397,649337,837913,62.0,343282,494631,1194745,142797,337,916,3602,78731,171756,383074,6392,223424,2231,12870,364667,57494,123408,13303
Gujarat,Porbandar,21.55092351651571,69.71896987722886,478,GUJARAT,585449,300209,285240,393678,67.0,172057,221621,549749,33565,248,500,515,71637,57051,174118,2371,117040,1653,5639,150643,25119,51830,13039
Gujarat,Rajkot,22.40603377715488,70.83679439383323,476,GUJARAT,3804558,1974445,1830113,2725056,72.0,1210981,1514075,3397406,361388,1918,5478,33591,402240,319570,1159480,23780,747352,21785,67370,913928,204306,290169,24017
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,472,GUJARAT,2428589,1244231,1184358,1578734,65.0,660109,918625,2260560,148563,614,6375,11110,211423,403443,681435,10909,438606,5262,25425,597667,198963,187685,542156
Gujarat,Surat,21.25761372772093,72.93488716344339,492,GUJARAT,6081322,3402224,2679098,4571410,75.0,1883942,2687468,5260193,660772,5703,21052,112835,807021,410723,2142819,42040,1252452,55694,149331,1332690,433651,158115,856952
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,475,GUJARAT,1756268,909917,846351,1093626,62.0,450405,643221,1620282,109681,512,1419,22992,165406,219462,504038,9518,302068,2975,15309,482679,61164,179461,21453
Gujarat,The Dangs,20.801633877551023,73.6883518367347,489,GUJARAT,228291,113821,114470,140968,62.0,63654,77314,203545,3593,69,20029,39,17736,56928,61329,1172,29794,137,1393,59954,7560,992,216073
Gujarat,Vadodara,22.26133739279589,73.49433010291594,486,GUJARAT,4165626,2153736,2011890,2893080,69.0,1278993,1614087,3713941,384579,9340,23813,27650,457662,460161,1233312,17680,798277,53606,117818,865726,268451,221629,1149901
Gujarat,Valsad,20.44238231644259,72.9148584798345,491,GUJARAT,1705678,887222,818456,1170657,69.0,515129,655528,1571147,94034,1589,19661,13809,171712,227057,516188,11833,329218,11020,31285,303197,123281,38237,902794
Haryana,Ambala,30.3503672316384,76.94970310734456,70,HARYANA,1128350,598703,529647,818025,72.0,356737,461288,955096,22143,138202,3705,4845,161844,52019,320120,15753,199681,12899,32767,170110,97980,296246,0
Haryana,Bhiwani,28.728868064516128,76.02110225806452,81,HARYANA,1634445,866672,767773,1069871,65.0,426713,643158,1611031,15515,2401,873,1016,198307,192328,430678,14855,266244,5292,25236,223049,148995,341162,0
Haryana,Faridabad,28.14873109756098,77.32718536585368,88,HARYANA,1809733,966110,843623,1272739,70.0,537799,734940,1588407,161680,34572,9743,4883,198551,102296,476933,32286,333171,43437,82673,220384,178846,223799,0
Haryana,Fatehabad,29.57298318584072,75.54608716814157,78,HARYANA,942011,495360,446651,557578,59.0,230107,327471,779243,8360,150969,996,1172,99948,105585,263498,6558,153301,3210,13142,136663,61476,284357,0
Haryana,Gurgaon,28.043894789579163,77.01935130260523,86,HARYANA,1514432,816690,697742,1111116,73.0,472450,638666,1408801,70842,15097,9725,7451,175370,112260,432456,18228,305751,67087,102343,177453,150120,197937,0
Haryana,Hisar,29.23628731117825,75.84324682779452,80,HARYANA,1743931,931562,812369,1114311,64.0,444111,670200,1701061,21650,12270,1945,3620,194595,203300,488321,16097,285004,10132,33400,230074,144626,408785,0
