State,District,Latitude,Longitude,District code,State name,Population,Male,Female,Literate,litracy_rate,Female_Literate,Male_Literate,Hindus,Muslims,Sikhs,Christians,Jains,Middle_Education,Female_Workers,Male_Workers,Household_Workers,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Primary_Education,Higher_Education,SC,ST
Karnataka,Shimoga,14.063845885634592,75.17882078103197,568,KARNATAKA,1752753,877415,875338,1263016,72.0,588078,674938,1479424,234664,400,26521,9234,292481,246111,534487,15087,363835,8791,35207,385978,132138,308158,65412
Karnataka,Tumkur,13.592467760074973,77.02297966260545,571,KARNATAKA,2678980,1350594,1328386,1813391,68.0,807367,1006024,2413812,245923,477,9130,5067,386998,517134,837512,54523,562769,7971,41751,500593,213588,506901,209559
Karnataka,Udupi,13.450404228534568,74.72009990316337,569,KARNATAKA,1177361,562131,615230,926429,79.0,460725,465704,1009179,96740,232,65838,4534,176260,177842,335399,10580,224814,9070,24817,286193,109663,75429,52897
Kerala,Alappuzha,9.542602965599087,76.38010796263319,598,KERALA,2127789,1013142,1114647,1852797,87.0,962245,890552,1460447,224545,268,435056,74,418953,267733,536738,35865,507913,28842,71593,334339,274789,201211,6574
Kerala,Ernakulam,10.004879301987431,76.26957729035381,595,KERALA,3282388,1619557,1662831,2855676,87.0,1429953,1425723,1509557,514397,860,1248137,1176,554817,336094,913249,23976,771287,88737,184167,446380,389793,268411,16559
Kerala,Idukki,9.80480963855423,77.04586641566264,596,KERALA,1108974,552808,556166,923010,83.0,451129,471881,541854,82206,100,481507,44,209398,184653,331710,6888,244844,8250,24863,166604,136428,145486,55815
Kerala,Kannur,11.941523076923056,75.35209891725934,589,KERALA,2523003,1181446,1341557,2138434,85.0,1125478,1012956,1509592,742483,424,262526,193,491844,214739,609377,12875,511167,32653,83940,487016,308670,83350,41371
Kerala,Kasaragod,12.33310309912974,75.07768497134369,588,KERALA,1307375,628613,678762,1037492,79.0,521016,516476,729987,486913,151,87454,130,230416,137903,325095,24496,237670,10378,32484,268084,122657,53283,48857
Kerala,Kollam,8.929388820570157,76.6360775852431,600,KERALA,2635375,1246968,1388407,2240273,85.0,1165928,1074345,1697635,508500,208,421598,63,562529,267663,644362,21511,630767,31542,83133,406592,307950,328263,10761
Kerala,Kottayam,9.643701174068417,76.46059673302705,597,KERALA,1974551,968289,1006262,1749798,89.0,888206,861592,983598,126499,204,858608,83,373998,205413,530322,18523,464039,37849,83999,271496,280720,153909,21972
Kerala,Kozhikode,11.392924270557026,75.71158720159153,591,KERALA,3086293,1470942,1615351,2615443,85.0,1348504,1266939,1734958,1211131,297,131516,601,647221,196648,752333,13312,641660,36791,107602,564392,351267,199191,15228
Kerala,Malappuram,10.97329875666072,75.93910775606876,592,KERALA,4112920,1960328,2152592,3311315,81.0,1713911,1597404,1135259,2888849,205,81556,68,814285,164267,898157,18423,730119,27909,119918,770417,392867,308266,22990
Kerala,Palakkad,10.784926903553291,76.49980490693744,593,KERALA,2809934,1359478,1450456,2239492,80.0,1116892,1122600,1875980,812936,220,114397,78,608176,296219,746121,25035,587583,27162,69440,492864,232109,403833,48972
Kerala,Thiruvananthapuram,8.537101759082221,76.88711502868073,601,KERALA,3301427,1581678,1719749,2785408,84.0,1430551,1354857,2194057,452915,404,630573,76,642470,367568,864101,28587,783872,71621,155321,460690,389161,372977,26759
Kerala,Thrissur,10.458932647907687,76.12321940836945,594,KERALA,3121200,1480763,1640437,2678548,86.0,1396287,1282261,1823442,532839,259,757484,62,524387,306216,789511,27883,721625,56148,132774,445696,362657,324350,9430
Kerala,Wayanad,11.715277464788736,76.07587007042254,590,KERALA,817420,401684,415736,645585,79.0,317449,328136,404460,234185,61,174453,1797,137227,111438,228639,4574,149864,4712,15944,144896,87042,32578,151443
Madhya Pradesh,Anuppur,23.18184220430107,81.86560000000007,461,MADHYA PRADESH,749237,379114,370123,436595,58.0,182475,254120,686524,21473,606,2132,1653,93450,139070,207401,7051,81338,1290,7266,115716,42743,74385,358543
Madhya Pradesh,Ashoknagar,24.63098846153845,77.82974493927134,459,MADHYA PRADESH,845071,443837,401234,469109,56.0,178805,290304,778214,40707,8009,635,15094,62802,83441,231829,10559,84720,619,6016,117053,29551,175764,82072
Madhya Pradesh,Balaghat,21.80020720640569,80.42170053380796,457,MADHYA PRADESH,1701698,842178,859520,1147623,67.0,521155,626468,1519384,38542,1050,5295,4778,235251,404404,488610,19245,277927,1712,13306,312640,126308,125426,383026
Madhya Pradesh,Barwani,21.702135714285724,74.91004719710673,441,MADHYA PRADESH,1385881,699340,686541,549926,40.0,236284,313642,1318869,58222,2361,2967,2289,74067,287969,365928,7451,181139,1158,8516,137116,42649,87991,962145
Madhya Pradesh,Betul,21.964626315789477,77.7873428189117,447,MADHYA PRADESH,1575362,799236,776126,939769,60.0,409986,529783,1505745,37590,1078,3271,3759,176325,333093,453887,11849,230974,2109,13755,232532,105696,159296,667018
Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653,420,MADHYA PRADESH,1703005,926843,776162,1094917,64.0,418404,676513,1595400,66776,4047,973,19950,199044,64993,455775,9838,107819,1166,14368,261162,96011,374799,6131
Madhya Pradesh,Bhopal,23.480726143790854,77.39246623093679,444,MADHYA PRADESH,2371061,1236130,1134931,1660690,70.0,740376,920314,1755861,525434,10789,23432,25950,287198,222497,644960,24732,452912,40788,94729,303171,178165,357516,69429
Madhya Pradesh,Burhanpur,21.364567254408065,76.24460478589425,467,MADHYA PRADESH,757847,388504,369343,408679,54.0,175606,233073,552526,180840,1074,1199,1884,69765,116414,211925,8077,112420,986,5058,119468,42618,64254,230095
Madhya Pradesh,Chhatarpur,24.813637376460004,79.56449299191374,425,MADHYA PRADESH,1762375,936121,826254,943033,54.0,371023,572010,1676918,70351,968,1980,10409,160310,270279,481518,26390,176056,1880,15567,236054,77787,405313,73597
Madhya Pradesh,Chhindwara,22.227966971713823,78.76413136439254,455,MADHYA PRADESH,2090922,1064468,1026454,1294198,62.0,562904,731294,1923920,100692,2258,4893,7830,225747,375721,582263,14585,344875,3588,20034,336391,167946,232244,769778
Madhya Pradesh,Damoh,23.76624407960196,79.47049303482588,428,MADHYA PRADESH,1264219,661873,602346,747715,59.0,301978,445737,1186420,47966,1096,1681,25005,150040,206884,367711,67383,187731,1432,10504,217296,64414,246337,166295
Madhya Pradesh,Datia,25.90226439560441,78.63916571428574,422,MADHYA PRADESH,786754,420157,366597,491445,62.0,187630,303815,747693,28483,490,683,453,88949,95498,225662,6839,97696,616,5251,131372,48978,200270,15061
Madhya Pradesh,Dewas,22.7851110021322,76.46088805970157,437,MADHYA PRADESH,1563715,805359,758356,925369,59.0,374653,550716,1376591,174259,2330,2355,6497,149522,291175,451501,11816,270457,3518,16523,225380,94403,292007,272701
Madhya Pradesh,Dhar,22.572681718963157,75.1105620736698,438,MADHYA PRADESH,2185793,1112725,1073068,1077338,49.0,438859,638479,2051219,116202,1607,2261,12199,164576,430895,597079,15830,349639,2388,18626,244058,99882,145436,1222814
Madhya Pradesh,Dindori,22.83738437047757,81.04332966714911,453,MADHYA PRADESH,704524,351913,352611,378714,54.0,155955,222759,605435,6736,260,4238,687,84065,186542,203383,7958,62372,554,6447,113875,31104,39782,455789
Madhya Pradesh,Guna,24.49043927178156,77.2235895968791,458,MADHYA PRADESH,1241519,649362,592157,653980,53.0,253443,400537,1172248,49203,3271,1208,13474,84560,179443,335454,12079,144248,2482,11740,157141,50724,193115,190819
Madhya Pradesh,Gwalior,26.04074441964285,78.12782433035713,421,MADHYA PRADESH,2032036,1090327,941709,1357210,67.0,554096,803114,1835299,141735,24790,4119,18058,204871,136491,548820,22592,306859,15779,46454,235924,166719,393068,72133
Madhya Pradesh,Harda,22.227659781121783,77.07022571819435,448,MADHYA PRADESH,570465,294838,275627,352550,62.0,148743,203807,527462,38640,676,683,1573,60757,74127,156852,6459,95066,986,5376,87733,31939,92865,159678
Madhya Pradesh,Hoshangabad,22.595268801996703,78.02168094841929,449,MADHYA PRADESH,1241350,648725,592625,810644,65.0,341445,469199,1175203,52269,3127,4453,3888,145076,132647,345435,9982,198076,2871,14456,183156,89589,205007,197300
Madhya Pradesh,Indore,22.680265752128648,75.9133801324502,439,MADHYA PRADESH,3276697,1699627,1577070,2309130,70.0,1019499,1289631,2728225,415142,25696,18523,71667,384611,329140,939055,43584,593576,48691,111478,472233,300076,545239,217679
Madhya Pradesh,Jabalpur,23.18525572327043,79.98328754716981,451,MADHYA PRADESH,2463289,1277278,1186011,1756468,71.0,776161,980307,2159065,203652,13256,23142,33728,313910,299654,705970,69946,452023,20443,58601,352284,222987,348029,375231
Madhya Pradesh,Jhabua,22.419578015397768,74.40921616766468,464,MADHYA PRADESH,1025048,515023,510025,352081,34.0,137499,214582,960925,15733,141,38423,8871,40466,249632,265489,5132,125411,744,5591,79781,28990,17427,891818
Madhya Pradesh,Katni,23.724416229116937,80.33819665871127,450,MADHYA PRADESH,1292042,662013,630029,790773,61.0,330190,460583,1240650,37232,1167,3158,5342,161727,195464,348410,31261,172416,2179,13094,207366,80935,155717,317699
Madhya Pradesh,Mandla,22.70348712446353,80.38600543633753,454,MADHYA PRADESH,1054905,525272,529633,604962,57.0,256929,348033,849518,16558,436,12450,1789,115632,259414,300235,9453,143803,912,9042,170994,58066,48425,610528
Madhya Pradesh,Mandsaur,24.19278764044944,75.43588667736759,433,MADHYA PRADESH,1340411,682851,657560,834591,62.0,331693,502898,1192588,125548,849,1120,19029,149219,282009,397714,8556,239885,2324,12507,217234,77219,249024,33092
Madhya Pradesh,Morena,26.37313504531724,77.88447341389724,419,MADHYA PRADESH,1965970,1068417,897553,1179685,60.0,432033,747652,1875495,76159,557,1092,6681,228234,150664,525329,16354,131486,1781,20172,285682,115790,421519,17030
Madhya Pradesh,Neemuch,24.70311893333336,75.06608186666664,432,MADHYA PRADESH,826067,422653,403414,508834,62.0,200945,307889,741288,67324,1110,1508,14165,83189,172974,245708,4020,145258,1945,8342,127167,53465,111162,71441
Madhya Pradesh,Panna,24.451325840092657,80.21133001158752,426,MADHYA PRADESH,1016520,533480,483040,552559,54.0,220419,332140,974748,35214,186,418,4734,99251,156623,275375,12201,76097,653,8501,134936,47903,207990,170879
Madhya Pradesh,Raisen,23.292518206521724,78.16305495923909,446,MADHYA PRADESH,1331597,700358,631239,820220,62.0,341127,479093,1195235,120331,2262,1725,10637,144108,147472,370366,17316,194373,1141,9931,210402,69419,225891,205006
Madhya Pradesh,Rajgarh,23.785499026425583,76.66431223922116,442,MADHYA PRADESH,1545814,790212,755602,804245,52.0,315448,488797,1433879,106928,460,1243,1599,103464,315835,429768,12123,231130,1611,12718,174381,72316,295718,53751
Madhya Pradesh,Ratlam,23.503562290502792,75.14895782122909,434,MADHYA PRADESH,1455069,738241,716828,825880,57.0,340790,485090,1267043,151071,1353,3996,29353,129392,279534,411446,11928,213825,3644,14905,194131,86507,198612,409865
Madhya Pradesh,Rewa,24.861184625158856,81.57572465057183,430,MADHYA PRADESH,2365106,1225100,1140006,1441757,61.0,596185,845572,2268838,85414,832,1964,655,312931,374762,617184,50878,251132,3406,31194,330131,180635,383508,311985
Madhya Pradesh,Sagar,23.800318709677374,78.71940357771273,427,MADHYA PRADESH,2378458,1256257,1122201,1545719,65.0,637112,908607,2198297,103480,4146,5580,62992,297079,323958,682077,140458,366494,4546,24811,426916,137899,501630,221936
Madhya Pradesh,Satna,24.62777621776502,80.75547048710598,429,MADHYA PRADESH,2228935,1157495,1071440,1371781,62.0,570730,801051,2158623,59471,1163,2228,3135,309536,320862,590487,46056,294702,3754,22751,334635,148091,398569,319975
Madhya Pradesh,Sehore,22.9297199679658,77.06780202883085,445,MADHYA PRADESH,1311332,683743,627589,780362,60.0,311154,469208,1163607,137980,640,1404,6232,136284,221528,364559,9917,212138,1566,11166,179388,77541,271281,145512
Madhya Pradesh,Seoni,22.33230487804874,79.66053863928111,456,MADHYA PRADESH,1379131,695879,683252,864194,63.0,378853,485341,1145052,79739,360,1857,4982,151636,289774,394660,11957,228695,1182,10417,241327,84398,130797,519856
Madhya Pradesh,Shahdol,23.44859864559819,81.4596831828442,460,MADHYA PRADESH,1066063,540021,526042,604194,57.0,255433,348761,997073,42426,912,2372,1737,128427,200655,292402,14329,113184,1733,10817,154282,60915,89733,476008
Madhya Pradesh,Shajapur,23.566620317220547,76.33555181268885,436,MADHYA PRADESH,1512681,780520,732161,894612,59.0,351103,543509,1321003,174724,631,815,13755,141225,286014,431857,8809,232735,1382,10797,239081,75967,353914,37836
Madhya Pradesh,Sheopur,25.78014810996563,77.16911116838484,418,MADHYA PRADESH,687861,361784,326077,328025,48.0,119824,208201,638702,41396,6387,230,379,43009,93667,183788,4166,74770,273,5393,70840,24732,108391,161448
Madhya Pradesh,Shivpuri,25.37802451874367,77.74861600810549,423,MADHYA PRADESH,1726050,919795,806255,900846,52.0,327604,573242,1648749,51200,7151,1117,12171,125117,278280,481001,13079,148128,1852,15304,214162,58509,321515,227802
Madhya Pradesh,Sidhi,24.17547189952905,82.1053783359498,462,MADHYA PRADESH,1127033,575912,551121,600785,53.0,247755,353030,1077545,34419,128,511,93,129344,177471,284289,15654,102228,837,10790,168224,60845,130202,313304
Madhya Pradesh,Tikamgarh,25.14099852104666,78.89357064846428,424,MADHYA PRADESH,1445166,760355,684811,747940,52.0,288587,459353,1383475,44143,251,588,15569,143231,252542,402776,15622,132725,1090,10899,188694,58245,361604,67857
Madhya Pradesh,Ujjain,23.319288862745065,75.80383717647058,435,MADHYA PRADESH,1986864,1016289,970575,1240990,62.0,510173,730817,1718204,233133,3241,4659,24622,178295,328017,569425,19678,323379,7501,27733,280030,119586,523869,48730
Madhya Pradesh,Umaria,23.59601063063061,80.90879477477475,431,MADHYA PRADESH,644758,330674,314084,356672,55.0,145765,210907,620515,15966,190,667,220,74854,113993,175698,8767,67975,839,6360,94011,27216,58147,300687
Madhya Pradesh,Vidisha,23.82838307984792,77.9013507604563,443,MADHYA PRADESH,1458875,769568,689307,862918,59.0,350574,512344,1287391,149548,914,1313,18490,123650,148819,401583,12408,181510,1926,12888,214603,65581,292144,67603
Maharashtra,Akola,20.746310479041902,77.12122320359276,501,MAHARASHTRA,1813906,932334,881572,1411281,78.0,652304,758977,1107809,357253,1504,4483,10205,275264,247792,520362,9660,314490,6163,24232,328367,205723,364059,100280
Maharashtra,Amravati,21.16520991810736,77.67583503184723,503,MAHARASHTRA,2888445,1480768,1407677,2251875,78.0,1044771,1207104,2055177,421410,2242,7223,11360,463051,398745,837577,20998,512492,9438,36185,468853,346876,506374,404128
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,235,BIHAR,2540073,1318684,1221389,1466002,58.0,597269,868733,2291133,237353,295,2218,775,302662,238613,599157,40652,44456,2362,31168,482199,136783,612064,1033
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515,MAHARASHTRA,3701282,1924469,1776813,2503837,68.0,1072901,1430936,2545438,786677,5142,15991,30981,422964,559215,1015864,28033,589477,23258,69937,686271,310762,539368,143366
Maharashtra,Bhandara,21.211792649727748,80.10950199637024,506,MAHARASHTRA,1200334,605520,594814,899860,75.0,411151,488709,1009352,26502,831,2145,1017,208902,252251,345054,17169,227025,2932,13165,187870,153749,200372,88886
Maharashtra,Bid,18.952353340080982,75.69319706477731,523,MAHARASHTRA,2585049,1349106,1235943,1718507,66.0,731322,987185,2174672,320395,824,2097,8719,280800,527729,727819,21093,402052,5614,29198,436446,206530,351254,32722
Maharashtra,Buldana,20.56680611183355,76.39017880364096,500,MAHARASHTRA,2586258,1337560,1248698,1879874,73.0,830982,1048892,1845424,354236,1668,3531,12242,400342,485617,734024,13770,423036,4767,24877,457067,228266,470895,124837
Maharashtra,Chandrapur,20.095609090909075,79.31556380471388,509,MAHARASHTRA,2204307,1123834,1080473,1578615,72.0,706050,872565,1780085,92297,5251,10701,3861,337320,409607,648565,21346,418666,8239,31419,316192,241179,348365,389441
Maharashtra,Dhule,21.274018690400517,74.58719071837263,498,MAHARASHTRA,2050862,1054031,996831,1293916,63.0,570528,723388,1825460,187901,1422,3653,12818,208571,365922,570448,20646,315332,6065,27139,323641,182739,127571,647315
Maharashtra,Gondiya,21.225008411214997,80.17522698598128,507,MAHARASHTRA,1322507,661554,660953,1004243,76.0,461406,542837,1153861,26157,2160,1827,1568,231153,282268,383151,32525,239981,2866,13595,237888,159570,175961,214253
Maharashtra,Hingoli,19.59525302245251,77.09239412780653,512,MAHARASHTRA,1177345,606294,571051,790743,67.0,340192,450551,863199,127552,643,992,5278,127246,238279,330903,8268,159114,1221,9676,266649,74544,182565,111954
Maharashtra,Jalgaon,20.8828943415638,75.55140421810695,499,MAHARASHTRA,4229917,2197365,2032552,2891882,68.0,1262659,1629223,3457615,560261,3091,7091,27404,532587,677099,1186472,38930,720791,14297,56775,735730,375643,389273,604367
Maharashtra,Jalna,19.984612534818933,75.98473607242339,514,MAHARASHTRA,1959046,1011473,947573,1195523,61.0,496095,699428,1504641,274221,1629,12542,9619,218189,385856,545030,16705,288895,3791,17236,422207,120715,272266,42263
Maharashtra,Kolhapur,16.44881301587301,74.12897150793648,530,MAHARASHTRA,3876001,1980658,1895343,2825845,73.0,1266085,1559760,3379906,286558,1570,15573,154882,487227,578850,1125204,59932,770005,22269,71879,622362,395234,504461,30206
Maharashtra,Latur,18.348687268993856,76.75812607802874,524,MAHARASHTRA,2454196,1273140,1181056,1650672,67.0,718240,932432,2006984,367664,935,2387,6387,296910,376839,670018,17663,381722,6217,29758,423711,224998,480913,57488
Maharashtra,Nagpur,21.196556862745105,79.02166176470584,505,MAHARASHTRA,4653570,2384975,2268595,3673808,79.0,1714588,1959220,3492202,390974,20469,34667,24528,812381,534349,1334211,52419,917626,57964,135750,666693,542228,867713,437571
Maharashtra,Nanded,19.209316983017,77.6829048951049,511,MAHARASHTRA,3361292,1730075,1631217,2189425,65.0,934203,1255222,2501741,471951,13540,3902,5049,368723,568721,925232,29158,488748,7548,43055,691348,255650,640483,281695
Maharashtra,Nandurbar,21.523175625248147,74.32638757443429,497,MAHARASHTRA,1648295,833170,815125,906509,55.0,394410,512099,1521618,96182,685,8467,6191,121404,349167,442898,14599,186202,2579,17047,218718,113019,47985,1141933
Maharashtra,Nashik,20.266912871287143,74.03824168316828,516,MAHARASHTRA,6107187,3157186,2950001,4345366,71.0,1947828,2397538,5237009,693052,8912,23946,38212,851714,1017042,1746286,56132,904710,45039,138887,1038955,485052,554687,1564369
Maharashtra,Osmanabad,18.19459456066944,75.99495575313809,525,MAHARASHTRA,1657576,861535,796041,1137810,69.0,493506,644304,1437623,178925,340,942,4530,201646,300121,473795,19831,240042,3209,18183,300965,139479,265184,36039
Maharashtra,Parbhani,19.31032425249168,76.70163338870431,513,MAHARASHTRA,1836086,942870,893216,1157814,63.0,491523,666291,1328385,306364,1371,2081,6238,204316,321375,501422,13210,272486,3982,21196,396713,116041,247308,40514
Maharashtra,Pune,18.51696171428573,74.12922881632647,521,MAHARASHTRA,9429408,4924105,4505303,7171723,76.0,3231513,3940210,8090254,673704,27090,134192,127786,1383055,1239177,2809816,105711,1925019,235018,490260,1234549,867256,1180703,348876
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,403,CHHATTISGARH,1493984,750278,743706,951639,64.0,408883,542756,1422986,17332,2117,47653,409,210964,260956,429211,9959,297308,3342,13857,260661,93340,224942,505609
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,520,MAHARASHTRA,2634200,1344345,1289855,1939994,74.0,880302,1059692,2239370,227465,7477,17452,12260,335886,319126,753843,32919,547206,38570,96301,407662,221410,134952,305125
Maharashtra,Ratnagiri,17.210195070127703,73.25725893866404,528,MAHARASHTRA,1615069,761121,853948,1199392,74.0,580380,619012,1307211,187197,230,1990,3347,269872,307068,407008,17230,367352,7752,31062,378554,111600,66948,20374
Maharashtra,Sangli,17.154930181086502,74.70713822937628,531,MAHARASHTRA,2822143,1435728,1386415,2049467,73.0,927917,1121550,2440312,239607,1260,9098,87453,459156,414890,800214,40824,485126,13212,49056,507318,244804,353093,18333
Maharashtra,Satara,17.6737908974359,74.18052064102558,527,MAHARASHTRA,3003741,1510842,1492899,2225694,74.0,1024660,1201034,2691952,146970,1182,4408,12810,407977,510142,844805,39772,562653,14093,57423,495822,299993,323236,29635
Maharashtra,Sindhudurg,16.170948049777163,73.51329008172343,529,MAHARASHTRA,849651,417332,432319,666067,78.0,317778,348289,780384,26264,219,15471,1046,134734,117502,229676,9679,194228,3517,15721,165284,89023,55586,6976
Maharashtra,Solapur,17.837357937584812,75.42394823609216,526,MAHARASHTRA,4317756,2227852,2089904,2910676,67.0,1259410,1651266,3795424,441254,1279,9882,28134,535848,691462,1206933,71106,595560,15145,59296,788150,328020,649745,77592
Maharashtra,Thane,19.698767747440264,72.79882742564581,517,MAHARASHTRA,11060148,5865078,5195070,8227161,74.0,3635765,4591396,8716055,1355630,39149,280700,172052,1588196,1129644,3363123,124461,2231800,256170,551643,1530916,1080597,730089,1542451
Maharashtra,Wardha,20.80743024390242,78.57259105691062,504,MAHARASHTRA,1300774,668385,632389,1019458,78.0,466841,552617,1057096,53854,2147,2696,5663,201471,215919,392316,13785,266155,4313,16260,186781,158055,188830,149507
Maharashtra,Washim,20.282282394366213,77.25502394366208,502,MAHARASHTRA,1197160,620302,576858,869917,73.0,382214,487703,859949,142672,518,1707,8476,160331,229439,340353,7122,196022,1875,10757,238985,116032,229462,80471
Maharashtra,Yavatmal,20.04258346738159,78.05326371760479,510,MAHARASHTRA,2772348,1419965,1352383,2022574,73.0,906594,1115980,2251401,239236,1596,4567,11422,382001,540524,815475,17899,446516,6094,29917,562739,245819,328518,514057
Manipur,Bishnupur,24.50712111801243,93.8246236024845,275,MANIPUR,237399,118782,118617,156333,66.0,69020,87313,175102,18691,56,4264,16,50004,47130,62807,11567,34364,676,3447,36011,20077,22113,3287
Manipur,Chandel,24.2635812987013,94.09443844155844,280,MANIPUR,144182,74579,69603,90302,63.0,39249,51053,10810,3086,136,129049,59,30589,33623,42615,3040,18764,184,1782,28163,12213,540,128280
Manipur,Churachandpur,24.30309718875504,93.38671506024085,274,MANIPUR,274143,138820,135323,195935,71.0,91922,104013,12034,2886,152,254979,87,65475,52061,70594,5067,29894,837,4496,67907,23284,443,254787
Manipur,Senapati,25.08465586034914,94.03366234413956,272,MANIPUR,479148,247323,231825,264477,55.0,116465,148012,43833,1649,140,426819,53,91395,109479,124143,4978,22798,256,2170,81735,40438,1000,419210
Manipur,Tamenglong,24.98312942238265,93.49450740072204,273,MANIPUR,140651,72371,68280,85006,60.0,37603,47403,2995,589,59,134760,57,26794,33438,37237,1710,11541,125,1362,28461,11645,22,134626
Manipur,Thoubal,24.545392553191498,93.97959893617023,276,MANIPUR,422168,210845,211323,269304,64.0,116687,152617,267146,107323,106,4322,24,87932,85942,109377,21017,49507,880,5110,69738,37899,40593,1808
Manipur,Ukhrul,25.05900314960629,94.44129566929138,279,MANIPUR,183998,94718,89280,129829,71.0,59681,70148,7553,1115,108,174112,70,38350,41396,46533,2233,14026,276,2437,29382,22729,248,173606
Meghalaya,East Garo Hills,25.82728228228228,90.64684924924916,294,MEGHALAYA,317917,161223,156694,192147,60.0,89634,102513,17272,3359,56,289708,38,52762,53811,72262,2475,24550,288,2368,70679,9473,509,305180
Meghalaya,East Khasi Hills,25.303763888888884,91.75922519841272,298,MEGHALAYA,825922,410749,415173,578030,70.0,290760,287270,144935,14185,2495,543394,303,127722,122483,204303,2966,135941,5032,19306,163729,58836,5642,661158
Meghalaya,Jaintia Hills,25.33959557069844,92.37608160136298,299,MEGHALAYA,395124,196285,198839,187527,47.0,100156,87371,12456,1646,34,271596,45,34677,65341,88839,2004,41677,510,4333,61526,13544,1317,376099
Meghalaya,South Garo Hills,25.240568578553614,90.64560349127176,295,MEGHALAYA,142334,73170,69164,82062,58.0,37059,45003,7036,1050,27,132984,10,21506,20243,32826,1249,10940,179,1625,28921,3998,319,134237
Meghalaya,West Garo Hills,25.495285185185185,90.03709947089942,293,MEGHALAYA,643291,324159,319132,358702,56.0,165264,193438,122936,106788,209,389956,144,90963,103779,151914,7643,51301,1630,8872,129178,29404,8810,474009
Meghalaya,West Khasi Hills,25.500889926739926,91.25364542124538,296,MEGHALAYA,383461,193715,189746,230678,60.0,113371,117307,6498,1533,58,366881,38,45046,73651,89694,2475,32873,149,2462,78208,12295,168,375097
Mizoram,Aizawl,23.90781335453101,92.85359459459472,283,MIZORAM,400309,199270,201039,340595,85.0,171048,169547,13249,5264,105,379134,76,100103,69993,104643,3360,79804,4019,21093,68214,37701,627,373542
Mizoram,Champhai,23.54166580976866,93.24221799485862,284,MIZORAM,125745,63388,62357,100802,80.0,49362,51440,1075,699,9,123446,45,30454,26213,34129,980,23948,186,2263,31359,4956,17,123466
Mizoram,Kolasib,24.2020004347826,92.73470391304348,282,MIZORAM,83955,42918,41037,65895,78.0,31748,34147,4000,4426,16,75210,2,20399,13939,22733,585,14853,367,1986,18046,3473,84,73609
Mizoram,Lawngtlai,22.36102843137253,92.66964156862753,287,MIZORAM,117894,60599,57295,62861,53.0,26417,36444,1668,522,52,63892,122,16629,17049,28517,613,9283,162,1329,21114,3763,146,112354
Mizoram,Lunglei,23.007717036172675,92.63512555425892,286,MIZORAM,161428,82891,78537,121122,75.0,56607,64515,5231,1290,74,127124,93,34774,32062,46230,813,26394,482,3725,33313,8503,178,153533
Mizoram,Mamit,23.73852942502819,92.4330803833147,281,MIZORAM,86364,44828,41536,60191,70.0,27214,32977,2989,1782,13,69104,25,19949,15323,24016,262,12158,90,1073,19711,3180,51,82080
Mizoram,Saiha,22.35744801061008,93.02827931034489,288,MIZORAM,56574,28594,27980,42233,75.0,20372,21861,933,514,11,54977,4,12130,7250,12211,313,7400,168,1194,14151,3628,83,54642
Mizoram,Serchhip,23.263864705882344,92.914158496732,285,MIZORAM,64937,32851,32086,54476,84.0,26878,27598,991,335,6,63444,9,16237,14136,18261,926,12315,131,987,14985,2915,32,62889
Nagaland,Dimapur,25.814176811594223,93.75074057971014,265,NAGALAND,378811,197394,181417,278037,73.0,127895,150142,108900,31212,566,234239,2148,80076,51705,99645,5073,71413,3303,12077,61815,26712,0,223989
Nagaland,Kohima,25.60311428571428,93.78600657596373,270,NAGALAND,267988,138966,129022,197489,74.0,90451,107038,25496,4384,998,234955,80,57726,46685,68140,2072,50724,1928,7982,46756,19855,0,224738
Nagaland,Mokokchung,26.478911764705888,94.522426006192,262,NAGALAND,194622,101092,93530,159494,82.0,76015,83479,9840,2057,78,181847,66,54035,42983,57084,3798,40154,537,2728,43483,13077,0,178431
Nagaland,Mon,26.69207374301676,95.03072988826828,261,NAGALAND,250260,131753,118507,119626,48.0,52194,67432,8102,3444,84,236494,314,30500,68229,79425,1608,14398,178,2844,46055,3565,0,238285
Nagaland,Phek,25.63272986577182,94.56814563758392,266,NAGALAND,163418,83743,79675,105893,65.0,47967,57926,3563,950,31,158224,17,30434,38721,41556,1275,36182,170,1558,32722,7268,0,157146
Nagaland,Tuensang,26.21104453280316,94.85809880715708,267,NAGALAND,196596,101933,94663,117511,60.0,53858,63653,2979,1052,27,191864,5,33514,45223,52931,1104,24998,155,2251,40900,6008,0,190916
Nagaland,Wokha,26.202611551155112,94.1990815181518,264,NAGALAND,166343,84505,81838,128208,77.0,60823,67385,5605,2043,34,158236,8,41627,36316,42096,1965,25268,198,1757,37024,10223,0,156621
Nagaland,Zunheboto,26.028178205128206,94.50026666666668,263,NAGALAND,140757,71217,69540,102881,73.0,49377,53504,2580,772,39,136995,6,35113,38288,41178,2025,28846,261,2008,30889,8821,0,136561
